rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
7,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.502092,5714.73,ctrl
8,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0240946,5714.73,ctrl
9,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.91689,5714.73,ctrl
10,18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.353967,5714.73,ctrl
1,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.116007,5714.73,ctrl
2,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.895055,5714.73,ctrl
3,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.80034,5714.73,ctrl
4,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0481834,5714.73,ctrl
5,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.482856,5714.73,ctrl
6,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.200945,5714.73,ctrl
7,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0962953,5714.73,ctrl
8,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.104372,5714.73,ctrl
9,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.117032,5714.73,ctrl
10,19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0463895,5714.73,ctrl
1,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.488104,5714.73,ctrl
2,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.778071,5714.73,ctrl
3,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.099597,5714.73,ctrl
4,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.106598,5714.73,ctrl
5,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.447679,5714.73,ctrl
6,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.221026,5714.73,ctrl
7,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.420268,5714.73,ctrl
8,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.687864,5714.73,ctrl
9,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.674098,5714.73,ctrl
10,20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.538103,5714.73,ctrl
